OBJECTID	AU_NO	AU_NAME	Shape_Leng	Shape_Area	AREA	TOTAL	P_UNDER_20	P_20_TO_39	P_40_TO_49	P_60_TO_79	P_OVER_80	T019	T2039	T4059	T6079	T80P	TB_CASES	Gi
168	521802.00000000000	Fairburn	5848.69825519000	899899.50000000000	Fairburn	3336	0.34712230200	0.30575539600	0.22661870500	0.10431654700	0.01618705000	1158	1020	756	348	54	6	0.942821791
169	521801.00000000000	Otahuhu North	4179.07190361000	664747.00000000000	Otahuhu North	2781	0.34843581400	0.32686084100	0.21143473600	0.10032362500	0.01294498400	969	909	588	279	36	8	0.953504159
175	519810.00000000000	Onehunga South West	7667.69372868000	1692324.50000000000	Onehunga South West	3618	0.23880597000	0.32587064700	0.28938640100	0.11691542300	0.02902155900	864	1179	1047	423	105	5	2.470289334
180	516700.00000000000	St Heliers	6113.36968767000	1822227.00000000000	St Heliers	4689	0.20921305200	0.20153550900	0.33269353800	0.20153550900	0.05502239300	981	945	1560	945	258	0	-1.586131799
186	517903.00000000000	Owairaka East	4628.04407408000	1192474.00000000000	Owairaka East	4170	0.27194244600	0.32086330900	0.26546762600	0.10287769800	0.03884892100	1134	1338	1107	429	162	7	4.654041161
187	517902.00000000000	Owairaka West	5162.61726171000	815311.00000000000	Owairaka West	2664	0.29279279300	0.38063063100	0.22522522500	0.08108108100	0.02027027000	780	1014	600	216	54	12	2.079493089
188	517901.00000000000	Springleigh	5876.77923011000	1063618.00000000000	Springleigh	2811	0.22732123800	0.43756670200	0.21664887900	0.08964781200	0.02881536800	639	1230	609	252	81	9	2.167590554
189	517100.00000000000	Point England	7183.74065867000	1625568.50000000000	Point England	4173	0.38820992100	0.25089863400	0.22501797300	0.11574406900	0.02012940300	1620	1047	939	483	84	9	0.340486636
190	514200.00000000000	Newton	2629.03833061000	432389.00000000000	Newton	1218	0.07389162600	0.73891625600	0.15270936000	0.02955665000	0.00492610800	90	900	186	36	6	0	-1.057231997
202	517400.00000000000	Newmarket	5519.94898924000	732388.00000000000	Newmarket	1755	0.12478632500	0.50085470100	0.25299145300	0.11111111100	0.01025641000	219	879	444	195	18	0	-2.06086478
203	514500.00000000000	New Windsor	7938.00475741000	1804973.00000000000	New Windsor	6555	0.27139588100	0.33180778000	0.25812357000	0.12036613300	0.01830663600	1779	2175	1692	789	120	12	3.198144956
211	517702.00000000000	Sandringham West	4682.25961523000	1043049.50000000000	Sandringham West	4446	0.23481781400	0.41295546600	0.23414305000	0.09244264500	0.02564102600	1044	1836	1041	411	114	12	1.659304328
212	517703.00000000000	Sandringham East	4350.26862921000	717084.00000000000	Sandringham East	3273	0.25481209900	0.41888176000	0.22914757100	0.08157653500	0.01558203500	834	1371	750	267	51	6	0.683647464
213	517701.00000000000	Sandringham North	4028.17183156000	819975.00000000000	Sandringham North	3132	0.22892720300	0.46455938700	0.21455938700	0.06513410000	0.02681992300	717	1455	672	204	84	4	0.798847636
218	518102.00000000000	Sherbourne	4593.59886186000	860766.00000000000	Sherbourne	2991	0.20060180500	0.44232698100	0.26278836500	0.07622868600	0.01805416200	600	1323	786	228	54	1	-0.567983749
219	518902.00000000000	Lynfield South	5797.26616885000	1729595.50000000000	Lynfield South	4263	0.29345531300	0.25756509500	0.29204785400	0.13230119600	0.02463054200	1251	1098	1245	564	105	8	0.887899103
220	518901.00000000000	Lynfield North	6278.02664333000	2064560.00000000000	Lynfield North	5451	0.26857457300	0.30709961500	0.25756741900	0.14364336800	0.02311502500	1464	1674	1404	783	126	8	2.689751011
221	518101.00000000000	Mt Eden North	4476.63202934000	895457.00000000000	Mt Eden North	3756	0.15415335500	0.52875399400	0.23322683700	0.05670926500	0.02715655000	579	1986	876	213	102	1	-0.965388231
222	515202.00000000000	St Marys	5953.43442803000	935481.50000000000	St Marys	2550	0.13764705900	0.40000000000	0.30705882400	0.10941176500	0.04588235300	351	1020	783	279	117	2	-0.707206203
224	515201.00000000000	Herne Bay	4749.63327273000	820293.00000000000	Herne Bay	2832	0.20762711900	0.32627118600	0.33474576300	0.10593220300	0.02542372900	588	924	948	300	72	0	-0.178389799
234	519720.00000000000	Onehunga North East	3988.77734347000	871124.00000000000	Onehunga North East	3552	0.21283783800	0.37500000000	0.25844594600	0.12415540500	0.02956081100	756	1332	918	441	105	1	0.579621156
235	515500.00000000000	Arch Hill	3929.38366737000	501666.50000000000	Arch Hill	1260	0.13333333300	0.64761904800	0.16428571400	0.05000000000	0.00476190500	168	816	207	63	6	0	-0.925804824
242	518702.00000000000	Hillsborough East	7698.16400020000	2161655.00000000000	Hillsborough East	4275	0.22947368400	0.30736842100	0.26175438600	0.13543859600	0.06596491200	981	1314	1119	579	282	3	2.156102352
243	518701.00000000000	Hillsborough West	6166.27051017000	2030503.16005000000	Hillsborough West	6861	0.27634455600	0.29077394000	0.28421512900	0.10887625700	0.03979011800	1896	1995	1950	747	273	17	1.051033351
245	520402.00000000000	Hamlin	5099.79862230000	1365601.00000000000	Hamlin	4785	0.31222570500	0.36739811900	0.21692790000	0.08777429500	0.01567398100	1494	1758	1038	420	75	5	2.43083239
246	520401.00000000000	Ferndale	5232.16989749000	1645691.50000000000	Ferndale	4263	0.27093596100	0.41027445500	0.23434201300	0.07248416600	0.01196340600	1155	1749	999	309	51	8	1.649838658
247	519900.00000000000	Oranga	4192.58576895000	909030.00000000000	Oranga	3807	0.32939322300	0.33727344400	0.22064617800	0.09298660400	0.01970055200	1254	1284	840	354	75	3	-1.897196022
248	516202.00000000000	Waiata	5631.61541830000	1371657.00000000000	Waiata	4005	0.26816479400	0.17902621700	0.31310861400	0.15430711600	0.08539325800	1074	717	1254	618	342	1	-1.596529655
250	516201.00000000000	Orakei South	8193.29595619000	1354380.00000000000	Orakei South	3366	0.29144385000	0.22103386800	0.32709447400	0.13725490200	0.02317290600	981	744	1101	462	78	0	-1.630763617
268	519400.00000000000	One Tree Hill East	5734.50762491000	1604514.00000000000	One Tree Hill East	5835	0.23701799500	0.34961439600	0.27814910000	0.10796915200	0.02724935700	1383	2040	1623	630	159	1	-1.647414242
269	516500.00000000000	Mission Bay	8453.20718400000	2130683.50000000000	Mission Bay	5307	0.19276427400	0.30638779000	0.30130017000	0.15375918600	0.04578858100	1023	1626	1599	816	243	5	-1.234487151
274	521901.00000000000	Otahuhu West	7934.19772358000	2433759.09650000000	Otahuhu West	5205	0.38789625400	0.29337175800	0.23112391900	0.07838616700	0.00922190200	2019	1527	1203	408	48	4	2.344384815
276	514802.00000000000	Avondale West	8247.81929185000	1599893.50000000000	Avondale West	4779	0.31198995600	0.32768361600	0.23540489600	0.09416195900	0.03075957300	1491	1566	1125	450	147	13	1.194825856
277	514000.00000000000	Freemans Bay	4135.28518454000	1002398.00000000000	Freemans Bay	3816	0.13522012600	0.44968553500	0.28773584900	0.11163522000	0.01572327000	516	1716	1098	426	60	3	-0.508237939
278	514801.00000000000	Rosebank	23964.51958650000	3574952.00000000000	Rosebank	4542	0.33817701500	0.30581241700	0.24174372500	0.10171730500	0.01254953800	1536	1389	1098	462	57	8	0.675079007
292	517200.00000000000	St Johns	7440.80330420000	2777031.50000000000	St Johns	2919	0.22199383400	0.41007194200	0.24974306300	0.09969167500	0.01849948600	648	1197	729	291	54	3	0.825760439
293	514302.00000000000	Grafton East	4948.99202499000	407611.50000000000	Grafton East	1929	0.20839813400	0.41057542800	0.17729393500	0.11975116600	0.08398133700	402	792	342	231	162	1	-1.708290716
294	514301.00000000000	Grafton West	4664.62744387000	528078.00000000000	Grafton West	2484	0.15338164300	0.64371980700	0.15217391300	0.04347826100	0.00724637700	381	1599	378	108	18	2	-2.152183416
306	517500.00000000000	Kingsland	5701.93482122000	1260887.00000000000	Kingsland	4431	0.17670954600	0.56939742700	0.19160460400	0.05416384600	0.00812457700	783	2523	849	240	36	6	-1.681964298
309	514600.00000000000	Avondale South	7115.79466619000	1469237.00000000000	Avondale South	5196	0.27193995400	0.29330254000	0.25519630500	0.14491916900	0.03464203200	1413	1524	1326	753	180	8	1.449559145
312	519710.00000000000	Onehunga North West	3950.81356674000	802435.50000000000	Onehunga North West	3483	0.22049956900	0.34366925100	0.23944875100	0.13867355700	0.05770887200	768	1197	834	483	201	12	0.021255007
314	515002.00000000000	Point Chevalier East	10947.90595430000	2254869.50000000000	Point Chevalier East	4227	0.26117814100	0.32292406000	0.27963094400	0.10645848100	0.02980837500	1104	1365	1182	450	126	2	-1.002394639
315	515003.00000000000	Point Chevalier South	6356.42690573000	1286615.50000000000	Point Chevalier South	1677	0.25223613600	0.43828264800	0.21645796100	0.07334525900	0.01967799600	423	735	363	123	33	2	0.088852639
316	515802.00000000000	Epsom South	4395.05783076000	951013.50000000000	Epsom South	3495	0.31759656700	0.23175965700	0.32618025800	0.10987124500	0.01459227500	1110	810	1140	384	51	2	-1.422634709
317	515801.00000000000	Epsom Central	4351.28095584000	1106586.50000000000	Epsom Central	3642	0.30477759500	0.24546952200	0.32454695200	0.09060955500	0.03459637600	1110	894	1182	330	126	3	-0.613319157
318	515001.00000000000	Point Chevalier West	6564.64456776000	1255852.00000000000	Point Chevalier West	3411	0.24890061600	0.26297273500	0.24890061600	0.10290237500	0.13632365900	849	897	849	351	465	1	0.001616048
319	514101.00000000000	Auckland Harbourside	18379.74218150000	1823209.00000000000	Auckland Harbourside	4092	0.07184750700	0.49046920800	0.26759530800	0.15982404700	0.01026393000	294	2007	1095	654	42	2	-0.805789203
